あ
ああ<副>            那么;那样
そなえる[備える/他] 准备;设置
その                那个;那
そのうえ            而且;又
そのうち            不久;过一会儿
そのた[その他]      其他;其余
そば                荞麦面条;荞麦
そば[側]            旁边;附近
そびえる/自         耸立;屹立;超群
そふ[祖父]      祖父;外祖父;爷爷;外公
そぼ[祖母]      祖母;外祖母;奶奶;姥姥
そぼく[素朴(な)]  朴素;纯朴;淳朴;质朴
そまつ[粗末(な)]    粗糙;不精致;粗忽
そむく[背く/自]     违背;背叛
そめる[染める/他]   染;涂上颜色
そら[空]            天空;空中
そる[剃る/他]       剃;刮
それ                那个;那样
それから            其次;然后;还有
それぞれ            各自;各个
それで              因此;因而;所以
それでは            那么;那就
それでも            尽管如此;虽然那样
それとも            还是;或者
それなら       那样的话;如果那样;那么
それに              而且;更兼
そろう[揃う/自]     一致;齐全;成套
そろえる[揃える/他] 使???一致
そん[損]            亏;亏损;不利;吃亏
そんがい[損害]    损害;损失;损伤;损耗
そんけい[尊敬(する/他)]尊敬;恭敬;敬仰
そんざい[存在(する/自)] 存在;有
ぞんざい(な)    草率;马虎;粗鲁;不礼貌
ぞんずる[存ずる/自] 知道;想;认为;认识
そんちょう[尊重(する/他)] 尊重;重视
そんな              那样的
そんなに            那么;那么样

た
た[他]              其他;另外
た[田]              田地;稻田;水田
ダース              一打(12个)
たい[対]            对;比
だい[第]            第…
だい[題]            题目;标题
だい[台]            高台;台坐
だい[大]            大;大量
だいいち[第一]      第一
たいいん[退院(する/自)] (病人)出院
たいおん[体温]      体温
たいおんけい[体温計] 体温计;体温表
たいか[大家]        权威;大家
たいかい[大会]      大会
たいかく[体格]      体格
たいがく[退学(する/自)] 退学
だいがく[大学]      大学
だいがくせい[大学生] 大学生
だいきん[代金]      价款
だいく[大工]        木匠
たいぐう[待遇(する/他)] 待遇;对待
たいくつ(な)        烦闷;无聊
たいけい[体系]      体系;系统
たいけん[体験(する/他)] 体验
たいこ[太鼓]        鼓
たいこう[対抗(する/自)] 对抗
だいこん[大根]      萝卜
たいざい[滞在(する/自)] 停留;旅居
たいさく[対策]      对策
たいし[大使]        大使
だいじ[大事(な)]    重要
たいしかん[大使館]  大使馆
たいして[大して]    并不那么???
たいしゅう[大衆]    大众;群众
たいじゅう[体重]    体重
たいしょう[対象]    对象
たいしょう[対照(する/他)] 对比;对照
たいしょう[大正]   大正(日本年号1912-1926年)
だいしょう[大小]    大小;大的和小的
だいじょうぶ[大丈夫] 不要紧;没问题;没关系
だいじん[大臣]      (日本内阁)大臣
だいず[大豆]        大豆
たいする[対する/自] 对;面向;对于;对待
たいせいよう[大西洋] 大西洋
たいせつ[大切(な)]  重要;心爱
たいせん[大戦]      大战
たいそう[体操]      体操
たいそう[大層]      非常;很;夸张
だいたい[大体]      大概;大致;差不多
たいだん[対談(する/自)] 对谈
だいたん[大胆(な)]  大胆
たいてい       大抵;(与推量呼应)大概
たいど[態度]        态度
たいとう[対等(の)]  对等;同等
だいとうりょう[大統領] 总统
だいどころ[台所]    厨房
だいなし            糟蹋;断送
だいひょう[代表(する/他)] 代表
タイプ              型式;类型;打字
だいぶ[大分]        非常;很;相当地
たいふう[台風]      台风
だいぶぶん[大部分]  大部分;多半
たいへいよう[太平洋] 太平洋
たいへん[大変(な)] 不得了;不容易;相当
だいべん[大便]      大便
たいほ[逮捕(する/他)] 逮捕
だいめい[題名]      题目
タイヤ              轮胎
ダイヤル            拨号盘
たいよう[太陽]      太阳
たいら[平ら(な)]    平坦
だいり[代理]        代理;代替;代理人
たいりく[大陸]      大陆
たいりつ[対立(する/自)] 对立
たいりょう[大量]    大量
たいりょく[体力]    体力
たうえ[田植え]      插秧
たえず[絶えず]      不断地
たえる[絶える/自] 断绝;停止;消失;终了
たえる[耐える/自]   忍耐;担负;受得住
たおす[倒す/他]     弄倒;推翻;打倒
タオル              手巾;毛巾
たおれる[倒れる/自] 倒;塌;病倒
だが                但是;可是;虽然
たかい[高い]        高;贵;高贵
たがい[互い(に)]    互相;双方
たかさ[高さ]        高度;贵贱
たかまる[高まる/自] 高涨;兴奋
たかめる[高める/他] 提高;抬高;加高
たがやす[耕す/他]   耕
たから[宝]          宝贝;珍品
だから              因此;所以
たき[滝]            瀑布
だきょう[妥協(する/自)] 妥协;和解
たく[炊く/他]       煮;烧;焚
だく/他             抱;孵
たくさん            许多;很多
タクシー            出租汽车;的士
たくはいびん[宅配便] 送货服务
たくましい          健壮;旺盛;坚强
たくみ[巧み(に)]    巧妙;精巧;技巧
たくわえる[蓄える/他] 储存;储备
たけ[竹]            竹子
だげき[打撃]        打击
たこ                章鱼
たこ[凧]            风筝
たしか[確か(に)]    确实;可靠
たしかめる[確かめる/他] 弄清;查明
たしざん[足し算]    加法;加算
たしょう[多少]      多少;稍微
たす[足す/他]       加;添;补上
だす[出す/他]上交;发出;拿出;放出;取出
たすう[多数]        多数
たすける[助ける/他] 帮助;救助;补佐
たずねる[尋?訪ねる/他] 寻找;拜访
ただ                免费;只是
ただいま        现在;刚;马上;我回来了
たたかい[戦い]      战争;竞赛
たたかう[戦う/自]   斗争;竞赛
たたく/他           敲;叩;打;拍;捶;擂
ただし              但是;可是
ただしい[正しい]    对;端正
ただちに[直ちに]    立刻;马上
たたみ[畳]        (日本式)草席;榻榻米
たたむ[畳む/他]     叠;折;合上;关闭
ただよう[漂う/自]   漂流;洋溢;充满
たちあがる[立ち上がる/自] 起立;恢复;重振
たちさる[立ち去る/自] 走开;离去
たちどまる[立ち止まる/自] 站住;停步
たちば[立ち場]      立脚地;立场;处境
たちまち            转瞬间;一下子
たちよる[立ち寄る/自] 途中落脚
たつ[絶?断つ/他]   戒;切;断;断绝;消灭
たつ[立?建つ/自] 立;站;冒;升;起;建;盖
たっする[達する/自他] 到达;到达
たっせい[達成(する/他)] 成就;完成
たった              只;仅
だったい[脱退(する/自)] 脱离;退出
だって              但是;就是…也
たっぷり           充分;足够;绰绰有余
たて[縦]            纵;竖;长;宽
たてかける[立てかける/他] 靠
たてまえ[建前]      原则;公开的方针
たてもの[建物]      房屋;建筑物
たてる[立?建てる/他] 盖;建造;建立
だとう[妥当(な)]    妥当;妥善
たとえ              比喻;例子;常言
たとえば[例えば]    比如;例如
たとえる[例える/他] 比喻;比方
たな[棚]            架子;棚
たに[谷]            山谷
たにん[他人]        外人;陌生人
たね[種]         种子;果核;根源;材料
たのしい[楽しい]    快乐;愉快;高兴
たのしみ[楽しみ]    乐趣;安慰;期望
たのしむ[楽しむ/他] 享乐;欣赏;期待 
たのみ[頼み]        恳求;信赖;依靠
たのむ[頼む/他]     拜托;请求
たのもしい          靠得住;有出息
たば[束]            把;捆;束
たばこ              烟草
たび[度]           回;次;度;每次;次数
たび[旅(する/自)]   旅行
たびたび            多次;再三
たぶん[多分]        大概;或许
たべもの[食べ物]    食物;吃食
たべる[食べる/他]   吃
たぼう[多忙(な)]    百忙;繁忙
たま[玉]            球;珠
たまご[卵]          蛋;卵;子
たましい[魂]        灵魂;精神
だます/他           欺骗
たまたま            偶然;碰巧
たまに              偶尔
たまねぎ[玉ネギ]    洋葱
たまらない          忍受不了;不得了
たまる[貯まる/自]   积存
だまる[黙る/自]     沉默;不吱声
ため                为了…;因为
だめ                不好;不行;不许
ためいき[ため息]    叹气;长吁短叹
ためし[試し]        试
ためす[試す/他]     试;尝试
ためらう/他        踌躇;犹豫;踯躅不前
ためる[貯める/他]  积;蓄;集;储蓄;收集
たもつ[保つ/他]     维持;保持
たやすい            容易;安易;不难
たより[便り]        消息;音信;信息
たよる[頼る/自]     依赖;依靠;投靠
だらしない          邋蹋;放荡;没出息
たりょう[多量]      大量
たりる[足りる/自]   够;将就
だれ                谁
だれか              谁;某人
だん[段]            楼梯;台阶
たんい[単位]    (度量)单位;(大学)学分
たんか[短歌]        (日本格律词)短歌
だんかい[段階]      阶段;地步;等级
たんき[短期]        短期
たんき[短気(な)] 性急;性情急躁;没耐性
だんけつ[団結(する/自)] 团结
たんけん[探検(する/他)] 探险
たんご[単語]        单词
だんし[男子]        男子
たんしゅく[短縮(する/他)] 缩减;缩短
たんじゅん[単純(な)] 单纯;简单
たんしょ[短所]      短处
だんじょ[男女]      男女
たんじょう[誕生(する/自)] 出生;成立
たんじょうび[誕生日] 生日
たんす              衣柜
ダンス              跳舞
だんせい[男性]      男性
だんたい[団体]      团体
だんだん            渐渐
だんち[団地]        住宅小区;居民区
たんちょう[単調(な)] 单调;平庸
だんてい[断定(する/他)] 断定;判定
たんどく[単独]      单独;单身
たんなる[単なる]    只不过
たんに[単に]        单;只
たんぱくしつ[蛋白質] 蛋白质
たんぼ[田んぼ]      水田;田地
だんぼう[暖房(する/他)] 暖气设备

ち
ち[地]              地;土地
ち[血]              血;血液;血缘
ちい[地位]          地位;职位;级别
ちいき[地域]        地域;地区
ちいさい[小さい]    小
チーズ              奶酪;干酪;乳酪
チーム              组;团队
ちえ[知恵]          智慧;智能
ちか[地下]          地下
ちかい[近い]        近;距离短
ちがい[違い]        差异;差错
ちがいない[違いない] 肯定;必定
ちかう[誓う/他]     发誓;起誓;宣誓
ちがう[違う/自]     不对;不同;不符合
ちかく[近く]        附近;不久
ちかごろ[近ごろ]    最近
ちかづく[近づく/自]    靠近;临近;接近;近似
ちかづける[近づける/他] 让???接近
ちかてつ[地下鉄]    地铁
ちかどう[地下道]    地道;地下通道
ちかみち[近道(する/自)] 近路;近道;抄近道儿
ちかよる[近よる/自] 走近;靠近;接近
ちから[力]          力量;力气
ちきゅう[地球]      地球
ちぎる/他           撕碎;掐下;摘取
ちこく[遅刻(する/自)] 迟到
ちじ[知事]          (省县州等的)长官
ちしき[知識]        知识
ちじょう[地上]      地上;地面
ちじん[知人]        相识;熟人
ちず[地図]          地图
ちたい[地帯]        地带;地区
ちち[父]            父亲
ちち[乳]            奶;乳汁;乳房
ちちおや[父親]      父亲
ちぢまる/自         缩小;抽缩
ちぢむ/自           缩;抽;畏缩
ちぢめる/他       缩短;缩小;缩回;减少
ちつじょ[秩序]      秩序;条理;次序
ちっとも            一点儿也不???
ちのう[知能]        智能
ちほう[地方]        地区;外地
ちめい[地名]        地名
ちゃ[茶]            茶;茶叶;茶树
ちゃいろ[茶色(の)]  茶色;棕色
ちゃく[着]          到达
ちゃくせき[着席(する/自)] 就座;入席;
ちゃくちゃく[着々(と)] 一步一步地;稳步地
ちゃくりく[着陸(する/自)] 着陆
ちゃのま[茶の間]    餐室;起居间;茶室
ちゃわん[茶碗]      茶碗;饭碗
チャンス            好机会;可乘之机
ちゃんと            好好地;规规矩矩地
ちゅう[中]     中央;当中;中等;正在?中
ちゅう[注]          注;注解;注释
ちゅうい[注意(する/自)] 注意;留神
ちゅういぶかい[注意ぶかい] 非常小心;留神
ちゅうおう[中央]    中央
ちゅうがく[中学]    中学;初级中学
ちゅうがくせい[中学生] 初中生
ちゅうがっこう[中学校] 初级中学;中学
ちゅうかん[中間]    中间
ちゅうきゅう[中級]  中级
ちゅうこく[忠告(する/自)] 忠告;劝告
ちゅうし[中止(する/他)] 中止;停止
ちゅうじつ[忠実(に)] 忠实
ちゅうしゃ[注射(する/他)] 注射;打针
ちゅうしゃ[駐車(する/自)] 停车
ちゅうしゃじょう[駐車場] 停车场
ちゅうじゅん[中旬]  中旬
ちゅうしょうてき[抽象的(な)] 抽象
ちゅうしょく[昼食]  午饭
ちゅうしん[中心]  中心;核心;焦点;重点
ちゅうせい[中世]    中世纪
ちゅうと[中途(で)]  中途;半路
ちゅうどく[中毒(する/自)] 中毒;上瘾
ちゅうにち[中日]    中日
ちゅうねん[中年(の)] 中年
ちゅうもく[注目(する/自)] 注目;注视
ちゅうもん[注文(する/他)] 订货;订做;要求
ちゅうりつ[中立]    中立
チューリップ        郁金香
ちょう[兆]          兆;万亿
ちょう[長]          长辈;首领
ちょう[蝶]          蝴蝶
ちょう[腸]          肠;肠子
ちょうか[超過(する/自)] 超过
ちょうかん[朝刊]    晨报
ちょうき[長期]      长期
ちょうこく[彫刻(する/他)] 雕刻
ちょうさ[調査(する/他)] 调查
ちょうし[調子]    音调;调子;状态;劲头
ちょうしょ[長所]    长处;优点
ちょうじょ[長女]    长女;大女儿
ちょうじょう[頂上]  山顶;顶点
ちょうしょく[朝食]  早饭
ちょうせい[調整(する/他)] 调整
ちょうせつ[調節(する/他)] 调节
ちょうだい     (谦让语)领受;请给我???
ちょうど          整;正;正好;刚;正象
ちょうなん[長男]    长子;大儿子
ちょうふく[重複(する/自)] 重复
ちょうぼ[帳簿]      帐本
ちょうほう[重宝(な)] 珍贵;方便;爱惜
ちょうみりょう[調味料] 调味料
ちょうめ[丁目]  (町以下的街区)第???街
ちょうわ[調和(する/自)] 调和;协调
チョーク            粉笔
ちょきん[貯金]      储蓄
ちょくせつ[直接]    直接
ちょくせん[直線]    直线
チョコレート        巧克力
ちょしゃ[著者]      著者;作者
ちょしょ[著書]      著书;写作
ちょちく[貯蓄(する/他)] 储蓄;存款
ちょっかく[直角]    直角
ちょっけい[直径]    直径
ちょっと           一点儿;一会儿;稍微
ちらかす[散らかす/他]  散乱;弄得乱七八糟
ちらす[散らす/他]   弄散
ちり[地理]          地理
ちりょう[治療(する/他)] 治疗
ちる[散る/自]       (花?叶)落;分散
ちんぎん[賃金]      工资
ちんたい[賃貸]      出租
ちんぼつ[沈没(する/自)] (船)沉没
ちんもく[沈黙(する/自)] 沉默;默不作声
ちんれつ[陳列(する/他)] 陈列

つ
ついか[追加(する/他)] 追加;添补
ついきゅう[追求(する/他)] 追求
ついたち[一日]      初一;一号;一日
ついで              顺便
ついに              终于;直到最后
ついほう[追放(する/他)]驱逐;驱除;清洗
ついやす[費やす/他] 花费;耗费;用掉
ついらく[墜落(する/自)] 坠落;摔下
つうか[通過(する/自)] 通过;驶过不停
つうがく[通学(する/自)] 上学
つうきん[通勤(する/自)] 上班
つうこう[通行(する/自)] 通行;往来
つうじょう[通常(の)] 平常
つうじる[通じる/自] 通;懂得
つうしん[通信(する/自)] 通信;通迅
つうち[通知(する/他)] 通知
つうやく[通訳(する/他)] 口译
つえ[杖]            手杖;拐杖
つかい[使い]    派去(来)的人;使用的人
つかう[使う/他]     使;用;雇佣
つかまえる[捕まえる/他] 抓住;逮捕
つかまる[捕まる/自] 被抓住;被捕获
つかれ[疲れ]        疲劳;疲倦
つかれる[疲れる/自] 累;劳累;困乏;疲倦
つき[月]            月;月亮
つぎ[次]            其次;下次
つきあい[付き合い]  交往;交际
つきあう[付き合う/自] 来往;交际
つきあたる[突き当たる/自]  走到尽头;碰到
つぎつぎ[次々(に)]一个接一个;接连不断
つきひ[月日]        时光;岁月
つきる[尽きる/自]尽;完;光;没有了;到头
つく[着く]          到达;寄到;够着
つく[突く/他]       扎;刺;撞
つく[付く/自]       附上;跟随
つぐ[継?次ぐ/自]   接继;续上;连上
つくえ[机]          桌子;写字台
つくす[尽くす/他]   尽力;竭力;効力
つくりあげる[作り上げる/他] 造成;做完;完成
つくる[作る/他]     做;作;造;弄;搞
つけもの[漬物]      咸菜
つける[付ける/他]   安上;装上;附上
つげる[告げる/他]   告诉;通知
つごう[都合]        情况;理由
つたえる[伝える/他]  传达;传授;传给;传导
つたわる[伝わる/自] 传;传说;传布;传来
つち[土]            土地;土壤
つつ[筒]            筒
つづき[続き]        继续
つつく/他           戳;捅;啄
つづく[続く/自]     继续;通到
つづける[続ける/他] 继续
つっこむ[突っ込む/他] 冲入;深入;钻进
つつみ[包み]        包装;包裹;包袱
つつむ[包む/他]     包;裹
つとめ[務?勤め]   本分;职务;工作;职业
つとめさき[勤め先]  工作单位;工作地点
つとめる[努める/自] 努力
つとめる[勤める/自] 做工作;担当任职;效劳
つな[綱]            粗绳
つながり            相连;联系
つながる/自         连接;排列
つなぐ/他           系;接;拴;套
つなみ[津波]        海啸
つね(に)            常;经常
つば                口水;唾沫;唾液
つばさ[翼]          翅膀;机翼;翼板
つばめ              燕子
つぶ[粒]            粒;颗;丸;珠
つぶす/他           弄碎;弄坏
つぶやく/自         自言自语;念叨
つぶれる/自         倒塌;垮台;磨碎
つぼ                壶;缸;坛
つぼみ              花蕾;花骨朵
つま[妻]            妻子 
つまずく/自         绊倒;跌倒;受挫
つまむ /他          捏;夹
つまらない          没有价值;无聊
つまり              总之;归根结底 
つまる[詰まる/自]   堵塞;挤满;停顿
つみ[罪]            罪;罪过
つむ[積む/他]       堆积;装载;积累
つめ[爪]            指甲;趾甲;爪
つめたい[冷たい]    冰凉;冷淡
つめる[詰める/他] 塞进;装入;挨紧;守候
つもり              打算;就算是???
つもる[積もる/自]   堆积;累积
つや                光泽;润泽
つゆ[露]            露水
つゆ[梅雨]          梅雨;梅雨期
つよい[強い]        強;有劲儿
つよめる[強める/他] 加強
つらい              痛苦;难过;吃不消
つらぬく/他         贯穿;贯彻
つり[釣り]          钓鱼;找的零钱
つりあう[釣り合う/自] 平衡;调合
つる[鶴]            仙鹤
つる[釣る/他]       钓;勾引;引诱
つるす/他           吊;挂;悬
つれ[連れ]          伴同;带着
つれる[連れる/他]   带;领

て
て[手]              手;手掌
であう[出会う/自]   遇见
てあて[手当]        津贴;补助;治疗
てあらい[手洗い]    洗手间;厕所
ていあん[提案(する/他)] 提案
ていいん[定員]      定员
ていか[低下(する/自)] 降低
ていか[定価]        定价
ていき[定期(の)]    定期
ていきけん[定期券]  定期票;月票
ていきゅうび[定休日] (定期)休息日
ていきょう[提供(する/他)] 提供;供应
ていこう[抵抗(する/自)]   抵抗;抗拒;反感
ていさい[体裁]      体面;体裁
ていし[停止(する/他)] 停止
ていしゃ[停車(する/自)] 停车;驻车
ていしゅつ[提出(する/他)] 提出
ていしょく[定食]    份儿饭;套餐
ていせい[訂正(する/他)] 订正;改正
ティッシュ          手纸;手巾
ていでん[停電(する/自)] 停电
ていど[程度]        程度;水平
ていねい[丁寧(に)]  有礼貌;恭恭敬敬;周到
でいりぐち[出入口]  出入口
ていれ[手入れ]      护理保养;维修
テープ              磁带;纸带;胶带
テーブル            桌子
テープレコーダー    录音机
てがかり[手がかり]  抓头儿;线索
でかける[出かける/自] 出门
てがみ[手紙]        书信
てがる[手軽(な)]    轻易;简便
てき[敵]            敌人
できあがる/自       完成;做好
てきぎ[適宜(の)]    适宜;合适
できごと            (发生的)事
てきする[適する/自] 适合
てきせつ[適切(な)]  恰当;妥当;适当
てきとう[適当(な)]  适当;正好;随便
てきよう[適用(する/他)] 适用
できる/自           能;会;有才能
でぐち[出口]        出口
てくび[手首]        手腕子;手脖子
デザイン(する/他)   设计;图案
でし[弟子]          弟子;徒弟
てじな[手品]        戏法;魔术
てすう[手数]        费事;费心;麻烦
ですから            所以
テスト(する/他)     测验;考试
でたらめ            荒唐;胡说八道
てちょう[手帳]      手册
てつ[鉄]            铁
てつがく[哲学]     哲学;人生观;世界观
てっきょう[鉄橋]    铁桥
てつだい[手伝い]    帮手;助手
てつだう[手伝う/他] 帮忙;帮助
てつづき[手続き]    手续
てっていてき[徹底的(に)] 彻底
てつどう[鉄道]      铁道;铁路
てっぽう[鉄砲]      枪
てにいれる[手に入れる/他]  弄到手;搞到手
テニス              网球
てのひら[手のひら]  手掌
では             (表示改变话题)那么
デパート       百货店;百货店商场;商厦
てびき[手びき]      指南手册
てぶくろ[手袋]      手套
てほん[手本]      样本;榜样;字帖;画帖
てまえ[手前]        跟前;这边;顾虑
でまえ[出前]        送菜;外买
でも             (表示转折,辩解)但是
てもと[手元]        身边;手头
てら[寺]            庙;寺院
てらす[照らす/他]   照射;对照;参照
てる[照る/自]       照;晒
でる[出る/自]       出去;出来
テレビ              电视
てん[点]            点;标点;分数
てん[天]            天;天空;天国
てんいん[店員]      店员
てんかい[展開(する/自他)] 开展
てんき[天気]        天气;好天气
でんき[電気]        电气;电力;电灯
でんきゅう[電球]    电灯泡
てんけい[典型]      典型
てんこう[天候]      天气
てんごく[天国]      天国;天堂
てんさい[天才]      天才
てんさい[天災]      天灾
でんしゃ[電車]      电车
てんじょう[天井]    天花板
てんすう[点数]      分数;得分
でんせつ[伝説]      传说;口传
でんせん[伝染(する/自)] 传染
でんせん[電線]      电线
でんち[電池]        电池
でんちゅう[電柱]    电线杆
テント              帐篷
でんとう[伝統]      传统
でんとう[電灯]      电灯
てんねん[天然(の)]  天然
てんのう[天皇]      天皇
テンプラ            油炸食品;天麸罗
でんぽう[電報]      电报
てんらんかい[展覧会] 展览会
でんりゅう[電流]    电流
でんわ[電話(する/自)] 电话记;打电话
でんわちょう[電話帳] 电话簿

と
と[戸]              门;拉门;窗户
ど[度]              程度;次数;度
ドア                门
とい[問い]          问;提问;问题
トイレ              厕所;卫生所
とう[等]            等级(儿);等奖;等
とう[党]            党;政党;同伙
とう[塔]            塔
どう[同]          同(时代);该(办公处)
どう[銅]            铜
どう[胴]            躯干;(衣服的)腰身
どう                怎么;怎么样;如何
とうあん[答案]      答案
どうい[同意(する/自)] 同意;同义
どういたしまして<感>  不谢;不敢当;哪儿的话
とういつ[統一(する/他)] 统一
どういつ[同一]      相同
どうか[同化]        同化
どうか(副词)        请
とうき[陶器]        陶器
どうき[動機]        动机
どうぐ[道具]        工具;道具;用具 
とうげ[峠]          山顶;顶点
とうけい[統計]      统计
とうこう[登校(する/自)] 上学
どうさ[動作]        动作
とうざい[東西]      东方和西方
とうじ[当時]        当时
どうし[同士]        同伴;彼此;一伙
どうじ[同時(に)]    同时
とうじつ[当日]      当日;当天
どうして            为什么;怎么
どうしても  务必;必定;无论如何也不???
とうしょ[投書(する/自)] 投稿
とうじょう[登場(する/自)] 登场;上场
どうじょう[同情(する/自)] 同情
どうせ            反正;总归;归根结底
とうぜん[当然]      当然;应该
どうぞ              请
とうだい[灯台]      灯塔
とうたつ[到達(する/自)] 到达;达到
とうちゃく[到着(する/自)] 到达
とうてい[到底]   无论如何也;怎么也???
とうとい[尊?貴い]  尊贵;珍贵
とうとう            终于;最后;到底
どうどう[堂々] 浩浩荡荡;威风凛凛;堂堂
どうとく[道徳]      道德
どうにか          设法;总算;凑合;好歹
とうばん[当番]      值班;值日
とうひょう[投票(する/他)] 投票
とうふ[豆腐]        豆腐
どうふう[同封(する/他)] 附在信里
どうぶつ[動物]      动物
どうぶつえん[動物園] 动物园
とうぶん[当分]      暂时;目前
とうめい[透明(な)]  透明;纯洁
どうめい[同盟(する/自)] 同盟;联盟
どうも              总觉得;谢谢
どうやら            好歹;总算;大概
とうよう[東洋]      东方
どうよう[同様(の)]  同样;一个样子
どうりょく[動力]    动力;原动力
どうろ[道路]        道路
とうろく[登録(する/他)] 登记;注册
どうわ[童話]        童话
とお[十]            十;十个;十岁
とおい[遠い]        远;久远
とおか[十日]        十日;十号;十天
とおく[遠く]        远方;远处
とおざかる[遠ざかる/自] 远离;疏远
とおす[通す/他]     穿过;通过;透过
とおり[通り]        大街;来往;流通
とおりがかり[通りがかり(の)] 正路过;正经过
とおる[通る/自]     通过;穿过;通畅
とかい[都会]        都市;城市
とかす[溶かす/他]   溶化;融化;溶解
とがった[尖った]    尖锐
とき[時]          时间;时期;季节;时机
ときどき[時々]      有时;时常
とく[得]          利益;合算;上算;便宜
とく[解く/他]       解;解答;解开;解职
とく[説く/他]       说明;说教;提倡
とぐ[研ぐ/他]       擦亮;磨快;研磨
どく[毒]            毒;有害;毒药
とくい[得意]        主顾
とくい[得意(な)]    得意;自豪;拿手
どくしゃ[読者]      读者
とくしゅ[特殊(な)]  特殊;特别
どくしょ[読書(する/自)] 读书;看书
とくしょく[特色]    特色;特点
どくしん[独身(の)]  独身;单身
どくせん[独占]      独占;专营
とくちょう[特徴]    特征;特点
どくとく[独特(の)]  独特
とくに[特に]        特別的;尤其;格外
とくべつ[特別(の)]  特別;格外
とくめい[匿名(で)]  匿名
とくゆう[特有(の)]  特有
どくりつ[独立(する/自)] 独立
とけい[時計]        钟;手表
とけこむ[溶け込む/自] 融洽;溶化;溶入;溶解
とける[解?溶ける/自] 溶解;溶化;熔化
とげる/他           到达;完成
どこ                哪里;何处
どこか             哪里;什么地方;好象
とこや[床屋]        理发店;理发师
ところ[所]          地方;当地;部分
ところが            可是;不过
どころか            不但???反而
ところで            (转换话题)欸
ところどころ   各处;这儿那儿;有些地方
とざん[登山(する/自)] 登山;爬山
とし[年]          年龄;岁数;年月;光阴
とし[都市]          都市;城市
としうえ[年上(の)]  年长;岁数大(的人)
としごろ[年ごろ]    大约的年龄;妙龄
としした[年下(の)]  年幼;年岁小
としとった[年とった] 上年纪;年老
とじまり[戸締り]    锁门
としょ[図書]        图书;书籍
としょかん[図書館]  图书馆
としょしつ[図書室]  图书室
としより[年より]    老人
とじる[綴じる/他]   订上;缝在一起
とじる[閉じる/他]   关闭;合上;结束
としん[都心]        市中心
とだな[戸棚]        柜橱;壁橱
とたん         刚??就??;正当???的時候
とち[土地]          土地;耕地
とちゅう[途中(で)]  途中;半路;半途
どちら             哪里;哪一位;哪一个
とっきゅう[特急]    特快列车
とっくに            早就
とつぜん[突然]      突然
どっち              哪边;哪个
とっぱ[突破(する/他)] 冲破;突破
トップ              首位;最高层
どて[土手]          堤防;堤坝;河堤
とても         很;非常;挺;怎么都不???
とどく[届く/自]     达到
とどける[届ける/他] 送到;报告;登记
ととのう[整う/自]   整齐;完整
どなた              谁;哪位
となり[隣(の)] 邻居;隔壁;旁边
となりあわせ[隣り合わせ] 紧挨着;比邻
どなる/自           大声斥责
とにかく       总之;无论如何;不管怎样
どの[殿]            (接尾)阁下;先生
どの                哪个
どのぐらい          多少
どのへん            哪儿;什么地方
とばす[飛ばす/他]使飞;吹散;放飞;溅;射
とびあがる[飛び上がる/自] 飞上天空;跳起来
とびこむ[飛び込む/自]  跳入;闯进;参加
とびだす[飛び出す/自]  跳起;蹦出;跳出
とぶ[飛ぶ/自]       飞翔;飞舞;跳过
とほ[徒歩]          徒步;步行
とぼしい[乏しい]    贫乏;缺少;不足
トマト              番茄;西红柿
とまる[止まる/自] 停止;堵住;中断;不通
とまる[泊まる/自]  投宿;过夜;(船)停泊
とめる[止める/他]   停下;停止;制止
とめる[泊める/他]    留(人)过夜;使(船)停泊
とも[友]            朋友;友人;伴儿
とも[供]            随从;伴同
ともだち[友だち]    朋友
ともなう/他         伴随;带领;相符
どよう[土曜]        星期六
とら[虎]            虎;老虎
ドライブ(する/自) 开车远游;(开车)兜风
トラック            卡车
ドラマ              戏剧;电视剧
トランプ            扑克牌
とり[鳥]            鸟
とりあげる[取り上げる/他] 拿起;吊销;没收
とりあつかう[取り扱う/他] 对待;办理;使用
とりかえる[取り替える/他] 交换;更換
とりけす[取り消す/他] 取消;作废;撤销;吊销
とりしまる[取り締まる/他] 管理;取缔
とりだす[取り出す/他] 取出;拿出;淘出
とりにく[鳥肉]      鸡肉
とりひき[取り引き(する/自)] 交易;买卖
とりもどす[取りもどす/他] 取回;拿回;恢复
どりょく[努力(する/自)] 努力
とる[取る/他]       取;拿;握
ドル                美元
どれ                哪个;哪一个
とれる/自           掉下;能提取
どろ[泥]            泥;泥巴
どろぼう[泥棒(する/他)] 小偷;贼
トン                吨
どんかん[鈍感(な)]  感觉迟钝;迟钝
とんだ              想象不到的;严重的
とんでもない        出乎意料;哪儿的话
どんな              怎样;任何的
どんなに            多么;不拘怎样
トンネル            隧道
どんぶり         大碗;大碗盖饭;盖浇饭
トンボ              蜻蜓

な
な[名]               名称;名字
ない[内]            内;里面;里头
ない               (否定词)不;没有;无 
ないか[内科]        内科
ないかく[内閣]      内阁
ないしょ[内緒(の)]  秘密
ないぞう[内臓]      内脏
ナイフ              餐刀;(西式)小刀
ないぶ[内部]        内部
ないよう[内容]      内容
ナイロン            尼龙
なえ[苗]            苗;秧
なお             还;仍然;而且;尚未;再
なおさら            更加;越发
なおす[直?治す/他] 改正;修理;治疗
なおる[直?治る/自]   改正过来;修理好;治好
